ano;mes;temperatura
1985;OUT.;18.97258064516129
1986;OUT.;18.640362903225803
1987;OUT.;18.889112903225804
1988;OUT.;17.77330645161291
1989;OUT.;16.75833333333333
1990;OUT.;20.030645161290323
1991;OUT.;19.179166666666664
1992;OUT.;19.131586021505377
1993;OUT.;20.159126344086026
1994;OUT.;20.294354838709676
1995;OUT.;18.143709677419356
1996;OUT.;19.20215053763441
1997;OUT.;19.6
1998;OUT.;18.2
1999;OUT.;17.2
2000;OUT.;20.9
2001;OUT.;19.3
2002;OUT.;22.0
2003;OUT.;19.1
2004;OUT.;18.6
2005;OUT.;20.0
2006;OUT.;19.1
2007;OUT.;20.1
2008;OUT.;19.8
2009;OUT.;19.0
2010;OUT.;17.7
2011;OUT.;19.3
2012;OUT.;21.1
2013;OUT.;18.9
2014;OUT.;20.2
2015;OUT.;20.9
2016;OUT.;19.5
2017;OUT.;20.4
2018;OUT.;19.2
2019;OUT.;20.9
2020;OUT.;20.4
2021;OUT.;18.1
2022;OUT.;19.963844086021506
2023;OUT.;20.4
1933;NOV.;16.76361111111111
1934;NOV.;18.757777777777775
1935;NOV.;18.358472222222222
1936;NOV.;17.978333333333335
1937;NOV.;17.553194444444443
1938;NOV.;18.491249999999997
1939;NOV.;19.09180555555555
1940;NOV.;18.34888888888889
1941;NOV.;18.638611111111114
1942;NOV.;18.382916666666667
1943;NOV.;18.262499999999996
1944;NOV.;17.62736111111111
1945;NOV.;18.330416666666668
1946;NOV.;18.888611111111107
1947;NOV.;16.948055555555552
1948;NOV.;18.71361111111111
1949;NOV.;17.605555555555554
1950;NOV.;17.759999999999998
1951;NOV.;18.97013888888889
1952;NOV.;18.995763888888895
1953;NOV.;18.55625
1954;NOV.;18.57305555555555
1955;NOV.;16.874444444444446
1956;NOV.;16.755833333333335
1957;NOV.;18.668472222222224
1958;NOV.;20.541527777777773
1959;NOV.;19.05958333333334
1960;NOV.;19.200277777777774
1961;NOV.;20.433611111111116
1962;NOV.;18.60388888888889
1963;NOV.;20.634722222222234
1964;NOV.;17.554861111111112
